Unnamed: 0.1,Unnamed: 0,id,tweet_text,Sentiment,Sentiment2,Sentiment3,majority_sentiment,cleaned_text,hashtags,users_mentioned,processed_text
10,10,8468,"Guckst Du  @Kreis_Rosenheim Kreis_Rosenheim @Kreis_Rosenheim  · 14. Juli 2021 Ihr wollt wissen, was in Eurer Umgebung los ist? Dann verpasst auf keinen Fall die neue #Event Serie „Places to be“ von „aROund“ – dem Online-Jugendmagazin für Jugendliche im Landkreis #Rosenheim. Mehr Infos? Gibt’s auf http://around-rosenheim.de! 21 2 6",3,3,3,3,guckst du kreis rosenheim juli ihr wollt wissen was in eurer umgebung los ist dann verpasst auf keinen fall die neue #event serie places to be von around dem online jugendmagazin für jugendliche im landkreis #rosenheim mehr infos gibt s auf,"['#event', '#rosenheim']","['kreis_rosenheim', 'kreis_rosenheim']",guckst kreis rosenheim juli wollt wissen umgebung los verpasst fall serie places around online jugendmagazin jugendliche landkreis infos
11,11,38656,"Während Coronainfektionen wieder steigen, muss jetzt eine neue Phase des Coronamanagements folgen. Angesichts der Impfquote tritt an die Stelle allgemeiner Zwangsmaßnahmen stärkere Eigenverantwortung. Allerdings müssen gerade Schwächere vor Rücksichtslosigkeit geschützt werden! 19 2 15",3,3,3,3,während coronainfektionen wieder steigen muss jetzt eine neue phase des coronamanagements folgen angesichts der impfquote tritt an die stelle allgemeiner zwangsmaßnahmen stärkere eigenverantwortung allerdings müssen gerade schwächere vor rücksichtslosigkeit geschützt werden,[],[],coronainfektionen steigen phase coronamanagements folgen angesichts impfquote tritt stelle allgemeiner zwangsmaßnahmen stärkere eigenverantwortung allerdings schwächere rücksichtslosigkeit geschützt
12,12,38352,"⁦ @ArminLaschet ⁩ will mit Schmutzwäsche den Umfragefrust vertreiben. In Wirklichkeit unterstreicht das mehr als alles andere die dringliche Oppositionsbedürftigkeit der Union. Justizskandal im Wahlkampf: Laschets autokratische Züge - taz.de Justizskandal im Wahlkampf: Laschets autokratische Züge Um seinen SPD-Konkurrenten Scholz zu beschädigen, missbraucht der Unionskandidat das Ansehen des Rechtsstaats. So jemand sollte nicht Kanzler werden. 26 13 49",2,2,2,2,will mit schmutzwäsche den umfragefrust vertreiben in wirklichkeit unterstreicht das mehr als alles andere die dringliche oppositionsbedürftigkeit der union justizskandal im wahlkampf laschets autokratische züge taz de justizskandal im wahlkampf laschets autokratische züge um seinen spd konkurrenten scholz zu beschädigen missbraucht der unionskandidat das ansehen des rechtsstaats so jemand sollte nicht kanzler werden,[],['arminlaschet'],schmutzwäsche umfragefrust vertreiben wirklichkeit unterstreicht dringliche oppositionsbedürftigkeit union justizskandal wahlkampf laschets autokratische züge taz justizskandal wahlkampf laschets autokratische züge spd konkurrenten scholz beschädigen missbraucht unionskandidat ansehen rechtsstaats jemand kanzler
13,13,40177,"Unser #Robert rockt #Wacken.  @Die_Gruenen Julius Betschka @JuliusBetschka  · 28. Juli 2021 Wacken, Sonntag, 15.30 Uhr, Gig im ""Wackinger Village"" Diesen Thread anzeigen 10 11 305",1,1,1,1,unser #robert rockt #wacken julius betschka juli wacken sonntag uhr gig im wackinger village diesen thread anzeigen,"['#robert', '#wacken']","['die_gruenen', 'juliusbetschka']",rockt julius betschka juli wacken sonntag gig wackinger village
14,14,5610,"Ein starkes Land braucht ein starkes #TeamCDU! Wir unterstützen unsere Freunde der  @CDU_BW , deshalb bei der Landtagswahl am 14. März: CDU wählen!  #ltwbw21 40 7 35",1,1,1,1,ein starkes land braucht ein starkes #teamcdu wir unterstützen unsere freunde der deshalb bei der landtagswahl am märz cdu wählen #ltwbw,"['#teamcdu', '#ltwbw21']",['cdu_bw'],starkes land braucht starkes unterstützen freunde deshalb landtagswahl cdu wählen
15,15,12455,"„Entscheidend ist, dass wir das ausstrahlen, was die Bürgerinnen und Bürger von uns erwarten, nämlich einen würdigen Umgang mit der Verantwortung, die sie uns übertragen haben.“  @MarcoBuschmann   #Bundestag 0:36 5.576 Mal angezeigt 27 21 174",1,3,3,3,entscheidend ist dass wir das ausstrahlen was die bürgerinnen und bürger von uns erwarten nämlich einen würdigen umgang mit der verantwortung die sie uns übertragen haben #bundestag mal angezeigt,['#bundestag'],['marcobuschmann'],entscheidend ausstrahlen bürgerinnen bürger erwarten nämlich würdigen umgang verantwortung übertragen
16,16,5229,"Seit Monaten lockt der Diktator #Lukaschenko Menschen unter falschen Voraussetzungen nach #Belarus, bringt sie dann an die polnische Grenze und versucht, die EU durch Druck zu erpressen. ""Auf diese Erpressungsversuche dürfen wir nicht eingehen"", fordert Mathias #Middelberg. 7 4 22",2,2,3,2,seit monaten lockt der diktator #lukaschenko menschen unter falschen voraussetzungen nach #belarus bringt sie dann an die polnische grenze und versucht die eu durch druck zu erpressen auf diese erpressungsversuche dürfen wir nicht eingehen fordert mathias #middelberg,"['#lukaschenko', '#belarus', '#middelberg']",[],monaten lockt diktator menschen falschen voraussetzungen bringt polnische grenze versucht eu druck erpressen erpressungsversuche dürfen eingehen fordert mathias
17,17,536,". @Tino_Chrupalla  reist auf Einladung der  #Regierung nach #Moskau: ""Die Einladung der russischen Regierung zeigt, dass unsere Bemühungen um einen Neustart der Beziehungen auf fruchtbaren Boden gefallen sind."" #AfD #Russland #Wirtschaft afdbundestag.de Stellvertretender Fraktionsvorsitzender Tino Chrupalla reist nach Moskau Berlin, 18. Juni 2021. Der stellvertretende Vorsitzende der AfD-Fraktion im Deutschen Bundestag, Tino Chrupalla, reist am Sonntag (20.06.) auf Einladung der russischen Regierung nach Moskau. Chrupa... 103 120 476",1,1,1,1,reist auf einladung der #regierung nach #moskau die einladung der russischen regierung zeigt dass unsere bemühungen um einen neustart der beziehungen auf fruchtbaren boden gefallen sind #afd #russland #wirtschaft afdbundestag de stellvertretender fraktionsvorsitzender tino chrupalla reist nach moskau berlin juni der stellvertretende vorsitzende der afd fraktion im deutschen bundestag tino chrupalla reist am sonntag auf einladung der russischen regierung nach moskau chrupa,"['#regierung', '#moskau', '#afd', '#russland', '#wirtschaft']",['tino_chrupalla'],reist einladung einladung russischen regierung bemühungen neustart beziehungen fruchtbaren boden gefallen afdbundestag stellvertretender fraktionsvorsitzender tino chrupalla reist moskau berlin stellvertretende vorsitzende afd fraktion deutschen bundestag tino chrupalla reist sonntag einladung russischen regierung moskau chrupa
19,19,39952,"Das beruhigt mich, dass sich viele in #SachsenAnhalt wohl gegen #Rechtsaussen und für die #Demokratie entschieden haben. Das ist ein gutes Zeichen. #ltwsa21 ZDFheute @ZDFheute  · 6. Juni 2021 Sachsen-Anhalt hat gewählt. Das ist die Prognose um 18 Uhr:   #ltwsa21 #SachsenAnhalt 31 9 132",1,1,1,1,das beruhigt mich dass sich viele in #sachsenanhalt wohl gegen #rechtsaussen und für die #demokratie entschieden haben das ist ein gutes zeichen #ltwsa zdfheute juni sachsen anhalt hat gewählt das ist die prognose um uhr #ltwsa #sachsenanhalt,"['#sachsenanhalt', '#rechtsaussen', '#demokratie', '#ltwsa21', '#ltwsa21', '#sachsenanhalt']",['zdfheute'],beruhigt wohl entschieden gutes zeichen zdfheute sachsen anhalt gewählt prognose
20,20,31677,"Kleiner Tipp,  @soerenbartol : Wenn SPD, Grüne und Linke ziemlich vorhersehbar und damit fast willentlich gegen das Grundgesetz verstoßen, sind nicht die Kläger schuld. Denkt mal drüber nach, bevor ihr Mieterinnen und Mieter das nächste Mal ins offene Messer laufen lasst. SPD-Fraktion im Bundestag @spdbt  · 15. Apr. 2021 „Es ist kein Geheimnis, dass den Klägern aus Reihen der CDU und FDP die Sorgen von Mieterinnen und Mietern vollkommen egal sind. Im Gegenteil: Sie sind die Anwälte der Immobilienlobby im Deutschen Bundestag"", kommentiert @soerenbartol das #BVerfG-Urteil zum #Mietendeckel. Diesen Thread anzeigen 9 25 291",2,2,2,2,kleiner tipp wenn spd grüne und linke ziemlich vorhersehbar und damit fast willentlich gegen das grundgesetz verstoßen sind nicht die kläger schuld denkt mal drüber nach bevor ihr mieterinnen und mieter das nächste mal ins offene messer laufen lasst spd fraktion im bundestag apr es ist kein geheimnis dass den klägern aus reihen der cdu und fdp die sorgen von mieterinnen und mietern vollkommen egal sind im gegenteil sie sind die anwälte der immobilienlobby im deutschen bundestag kommentiert das #bverfg urteil zum #mietendeckel diesen thread anzeigen,"['#bverfg', '#mietendeckel']","['soerenbartol', 'spdbt', 'soerenbartol']",kleiner tipp spd grüne linke ziemlich vorhersehbar fast willentlich grundgesetz verstoßen kläger schuld denkt drüber bevor mieterinnen mieter nächste offene messer laufen lasst spd fraktion bundestag apr geheimnis klägern reihen cdu fdp sorgen mieterinnen mietern vollkommen egal gegenteil anwälte immobilienlobby deutschen bundestag kommentiert urteil
21,21,30252,"Ali oder Defne, Leyla oder Mehmet gehören zum modernen Deutschland. #Antisemitismus - ob importiert oder hier gewachsen - tut es nie. Strukturen, die ihn begünstigen, müssen wir benennen und bekämpfen. Egal ob es die neue Rechte oder der politische Islamismus ist. 26 17 236",2,2,3,2,ali oder defne leyla oder mehmet gehören zum modernen deutschland #antisemitismus ob importiert oder hier gewachsen tut es nie strukturen die ihn begünstigen müssen wir benennen und bekämpfen egal ob es die neue rechte oder der politische islamismus ist,['#antisemitismus'],[],ali defne leyla mehmet gehören modernen deutschland importiert gewachsen tut nie strukturen begünstigen benennen bekämpfen egal rechte politische islamismus
22,22,40109,"Klare Sprache, klare Analyse was hier gerade passiert im #Wahlkampf.  @sigmargabriel Sigmar Gabriel @sigmargabriel  · 5. Juli 2021 Ich bin bestimmt kein Grünwähler, aber was mit @ABaerbock passiert, zeigt nur, wie armselig der Wahlkampf ist. AB sollte es als „Wertschätzung“ im wörtlichen Sinn nehmen. Sie wird nur auf ihre politische „Schussfestigkeit“ getestet. Mehr ist es nicht. Einfach stehenbleiben.… 1/2 Diesen Thread anzeigen 12 23 206",2,2,4,2,klare sprache klare analyse was hier gerade passiert im #wahlkampf sigmar gabriel juli ich bin bestimmt kein grünwähler aber was mit passiert zeigt nur wie armselig der wahlkampf ist ab sollte es als wertschätzung im wörtlichen sinn nehmen sie wird nur auf ihre politische schussfestigkeit getestet mehr ist es nicht einfach stehenbleiben diesen thread anzeigen,['#wahlkampf'],"['sigmargabriel', 'sigmargabriel', 'abaerbock']",klare sprache klare analyse passiert sigmar gabriel juli bestimmt grünwähler passiert armselig wahlkampf wertschätzung wörtlichen sinn nehmen politische schussfestigkeit getestet einfach stehenbleiben
25,25,12146,"„Wir brauchen JETZT schnelle Lösungen für die Beschleunigung der #Impfkampagne. Deutschland hat ein enormes Forschungspotenzial. Dieses Know-how müssen wir entfesseln"", fordert  @cad59 . Unsere Ideen für mehr Medikamente gegen #Corona  https://dip21.bundestag.de/dip21/btd/19/284/1928434.pdf…. 4 6 58",1,1,3,1,wir brauchen jetzt schnelle lösungen für die beschleunigung der #impfkampagne deutschland hat ein enormes forschungspotenzial dieses know how müssen wir entfesseln fordert unsere ideen für mehr medikamente gegen #corona,"['#impfkampagne', '#corona']",['cad59'],schnelle lösungen beschleunigung deutschland enormes forschungspotenzial know entfesseln fordert ideen medikamente
26,26,1645,"#Kretschmann hat den Schleier gelüftet. Was die Bürger mit den #Grünen in der #Bundesregierung erwartet, hat diktatorische Ansätze. Ein Ministerpräsident, der unsere Demokratie praktisch abschaffen will, ist für dieses Amt zudem völlig ungeeignet & muss sofort zurücktreten! #AfD 232 728 2.675",2,2,2,2,#kretschmann hat den schleier gelüftet was die bürger mit den #grünen in der #bundesregierung erwartet hat diktatorische ansätze ein ministerpräsident der unsere demokratie praktisch abschaffen will ist für dieses amt zudem völlig ungeeignet muss sofort zurücktreten #afd,"['#kretschmann', '#grünen', '#bundesregierung', '#afd']",[],schleier gelüftet bürger erwartet diktatorische ansätze ministerpräsident demokratie praktisch abschaffen amt zudem völlig ungeeignet sofort zurücktreten
27,27,46118,"Bis #Gera|de - super Veranstaltung  Alice Weidel, Alexander Gauland, Michael Kaufmann, Jürgen Treutler, Stephan #Brandner & knapp 2.000 Besuchern! Unglaublich…so muß das!  #AfD #nurnochAfD #Thüringen #Deutschlandabernormal #wirholendasDirektmandat #WK194 #Berlin #Bundestag 70 69 283",1,1,1,1,bis #gera de super veranstaltung alice weidel alexander gauland michael kaufmann jürgen treutler stephan #brandner knapp besuchern unglaublich so muß das #afd #nurnochafd #thüringen #deutschlandabernormal #wirholendasdirektmandat #wk #berlin #bundestag,"['#gera', '#brandner', '#afd', '#nurnochafd', '#thüringen', '#deutschlandabernormal', '#wirholendasdirektmandat', '#wk194', '#berlin', '#bundestag']",[],super veranstaltung alice weidel alexander gauland michael kaufmann jürgen treutler stephan knapp besuchern unglaublich muß
28,28,4038,"Na klar! In dieser #Sitzungswoche stehen viele wichtige Punkte auf der Agenda, z.B. neue Spielregeln für #Digitalkonzerne, #Bioökonomie und der Kampf gegen Hass im #Netz. Und der Bundesgesundheitsminister gibt eine Regierungserklärung ab. Mehr dazu hier: https://cducsu.de/themen/neue-spielregeln-fuer-digitalkonzerne-biooekonomie-und-der-kampf-gegen-hass-im-netz… 15 15 27",3,3,3,3,na klar in dieser #sitzungswoche stehen viele wichtige punkte auf der agenda z b neue spielregeln für #digitalkonzerne #bioökonomie und der kampf gegen hass im #netz und der bundesgesundheitsminister gibt eine regierungserklärung ab mehr dazu hier,"['#sitzungswoche', '#digitalkonzerne', '#bioökonomie', '#netz']",[],na klar stehen wichtige punkte agenda z b spielregeln kampf hass bundesgesundheitsminister regierungserklärung
29,29,6072,13:00 Uhr. Vorstellung des Regierungsprogramms. #guterplan 135 76 172,3,1,1,1,uhr vorstellung des regierungsprogramms #guterplan,['#guterplan'],[],vorstellung regierungsprogramms
31,31,16316,"""Olaf Scholz und Wirecard"" - Kay Gottschalk klärt auf. https://youtu.be/PQ9erzAHS5k via  @YouTube youtube.com ""Olaf Scholz und Wirecard"" - Kay Gottschalk klärt auf. In Folge zwei der Serie „Joachim Paul trifft…“ nimmt der ehemalige Vorsitzender des Wirecard-Untersuchungsausschusses, Kay Gottschalk (MdB) Stellung zum Wire... 2 15 39",3,3,3,3,olaf scholz und wirecard kay gottschalk klärt auf via youtube com olaf scholz und wirecard kay gottschalk klärt auf in folge zwei der serie joachim paul trifft nimmt der ehemalige vorsitzender des wirecard untersuchungsausschusses kay gottschalk mdb stellung zum wire,[],['youtube'],olaf scholz wirecard kay gottschalk klärt via youtube olaf scholz wirecard kay gottschalk klärt folge zwei serie joachim paul trifft nimmt ehemalige vorsitzender wirecard untersuchungsausschusses kay gottschalk mdb stellung wire
32,32,16288,"AfD kündigt juristische Schritte gegen ""Tagesschau"" an dwdl.de AfD kündigt juristische Schritte gegen ""Tagesschau"" an - DWDL.de Die AfD wirft der ""Tagesschau"" irreführende Berichterstattung und Verletzung der journalistischen Sorgfaltspflicht vor, weil es dort hieß, die AfD habe dem Fluthilfe-Fonds nicht zugestimmt. Tatsäch... 17 106 496",2,2,3,2,afd kündigt juristische schritte gegen tagesschau an dwdl de afd kündigt juristische schritte gegen tagesschau an dwdl de die afd wirft der tagesschau irreführende berichterstattung und verletzung der journalistischen sorgfaltspflicht vor weil es dort hieß die afd habe dem fluthilfe fonds nicht zugestimmt tatsäch,[],[],afd kündigt juristische schritte tagesschau dwdl afd kündigt juristische schritte tagesschau dwdl afd wirft tagesschau irreführende berichterstattung verletzung journalistischen sorgfaltspflicht hieß afd fluthilfe fonds zugestimmt tatsäch
33,33,4562,Presseinfo  @AndreasLaemmel : Ein funktionierender Internetanschluss gehört zur Daseinsversorge cducsu.de Ein funktionierender Internetanschluss gehört zur Daseinsversorge Am heutigen Donnerstag hat der Deutsche Bundestag abschließend eine umfassende Modernisierung und Überarbeitung des Telekommunikationsgesetzes (TKG) beraten. Dazu können Sie den stellvertrete... 4 2 2,2,3,3,3,presseinfo ein funktionierender internetanschluss gehört zur daseinsversorge cducsu de ein funktionierender internetanschluss gehört zur daseinsversorge am heutigen donnerstag hat der deutsche bundestag abschließend eine umfassende modernisierung und überarbeitung des telekommunikationsgesetzes tkg beraten dazu können sie den stellvertrete,[],['andreaslaemmel'],presseinfo funktionierender internetanschluss gehört daseinsversorge cducsu funktionierender internetanschluss gehört daseinsversorge heutigen donnerstag deutsche bundestag abschließend umfassende modernisierung überarbeitung telekommunikationsgesetzes tkg beraten stellvertrete
34,34,41736,"Bilanz des #Afghanistan -Kriegs: rund 240.000 Tote (zumeist Zivilisten), 5,5 Millionen Vertriebene, ungesühnte Kriegsverbrechen, Herrschaft der Taliban und 59 tote #Bundeswehr -Soldaten. Was gibt es da zu feiern mit diesem militaristischen Mummenschanz? #Zapfenstreich #Zapfnix 66 78 282",2,2,2,2,bilanz des #afghanistan kriegs rund tote zumeist zivilisten millionen vertriebene ungesühnte kriegsverbrechen herrschaft der taliban und tote #bundeswehr soldaten was gibt es da zu feiern mit diesem militaristischen mummenschanz #zapfenstreich #zapfnix,"['#afghanistan', '#bundeswehr', '#zapfenstreich', '#zapfnix']",[],bilanz kriegs tote zumeist zivilisten millionen vertriebene ungesühnte kriegsverbrechen herrschaft taliban tote soldaten feiern militaristischen mummenschanz
35,35,32902,Die Gewalt gegen Frauen hat während der Pandemie zugenommen. Beratungsstellen+Frauenhäuser sind unverzichtbar. Heute habe ich mich in Bad Hersfeld über deren Arbeit informiert. Wir haben im Bund ein Förderprogramm aufgelegt. Aber es muss noch mehr getan werden. 2 2 35,2,2,3,2,die gewalt gegen frauen hat während der pandemie zugenommen beratungsstellen frauenhäuser sind unverzichtbar heute habe ich mich in bad hersfeld über deren arbeit informiert wir haben im bund ein förderprogramm aufgelegt aber es muss noch mehr getan werden,[],[],gewalt frauen pandemie zugenommen beratungsstellen frauenhäuser unverzichtbar bad hersfeld deren arbeit informiert bund förderprogramm aufgelegt getan
36,36,16528,Die #AfD ist eine Partei der Niedertracht. Das musste in der heutigen Rede einfach mal raus  22 14 80,2,2,2,2,die #afd ist eine partei der niedertracht das musste in der heutigen rede einfach mal raus,['#afd'],[],partei niedertracht heutigen rede einfach raus
37,37,29197,"Die Situation ist immer noch die gleiche wie 2015: Es existiert eine Herrschaft des Unrechts (Seehofer). Tausende Migranten kommen ungehindert und unkontrolliert über offene Grenzen ins Land. Eine untragbare Situation!  #AfD tagesspiegel.de 4300 Migranten kamen seit August über die Belarus-Route nach Deutschland Eine neue Fluchtroute aus Syrien, dem Irak oder dem Jemen nach Deutschland ist entstanden. Brandenburger Ankunftszentren erweitern die Kapazität mit Zelten. 17 103 264",2,2,2,2,die situation ist immer noch die gleiche wie es existiert eine herrschaft des unrechts seehofer tausende migranten kommen ungehindert und unkontrolliert über offene grenzen ins land eine untragbare situation #afd tagesspiegel de migranten kamen seit august über die belarus route nach deutschland eine neue fluchtroute aus syrien dem irak oder dem jemen nach deutschland ist entstanden brandenburger ankunftszentren erweitern die kapazität mit zelten,['#afd'],[],situation gleiche existiert herrschaft unrechts seehofer tausende migranten kommen ungehindert unkontrolliert offene grenzen land untragbare situation tagesspiegel migranten kamen august belarus route deutschland fluchtroute syrien irak jemen deutschland entstanden brandenburger ankunftszentren erweitern kapazität zelten
38,38,7044,"„Darüber reden wir nicht nur wie die Merzens und die Lindners, wir machen es!“ Großartige Rede unseres Ministerpräsidenten Winfried #Kretschmann zu Digitalisierung, Innovation & Klimaschutz auf dem grünen #Wahlparteitag. #Bundestagswahl21 13 32 281",1,1,4,1,darüber reden wir nicht nur wie die merzens und die lindners wir machen es großartige rede unseres ministerpräsidenten winfried #kretschmann zu digitalisierung innovation klimaschutz auf dem grünen #wahlparteitag #bundestagswahl,"['#kretschmann', '#wahlparteitag', '#bundestagswahl21']",[],darüber reden merzens lindners großartige rede ministerpräsidenten winfried digitalisierung innovation klimaschutz grünen
